method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean,postfilter_candidate_pool_lower_bound
active_c4,0.001,0,3,64,L3,1.0,443.0,332.0,111,1603.0,332.0,0,0,1.9080829999893467,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,3,64,L3,1.0,460.0,349.0,111,2964.0,349.0,0,0,1.7025040000078207,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,3,64,L3,1.0,392.0,282.0,110,749.0,282.0,0,0,1.9754749999947308,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,3,64,L3,0.9,571.0,508.0,63,819.0,508.0,0,0,2.1726909999983945,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,3,64,L3,1.0,7008.0,6896.0,112,18858.0,235.0,18858,0,8.043853000003764,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,3,64,L3,1.0,719.0,608.0,111,648.0,241.0,1671,1671,4.10182499996381,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,3,128,L3,1.0,528.0,315.0,213,887.0,315.0,0,0,3.3963969999888377,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,3,128,L3,1.0,559.0,343.0,216,1731.0,343.0,0,0,3.0448090000163575,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,3,128,L3,1.0,566.0,350.0,216,3263.0,350.0,0,0,2.602456999994729,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,3,128,L3,1.0,572.0,356.0,216,6016.0,356.0,0,0,2.2654989999750796,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,3,128,L3,1.0,555.0,339.0,216,1484.0,339.0,0,0,3.197429000010743,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,3,128,L3,1.0,813.0,708.0,105,1506.0,708.0,0,0,3.8531829999897127,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,3,128,L3,1.0,14020.0,13807.0,213,37955.0,315.0,37955,0,15.59065899996881,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,3,128,L3,1.0,1008.0,795.0,213,1280.0,316.0,3212,3212,7.659765999989077,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,3,256,L3,1.0,735.0,341.0,394,1662.0,341.0,0,0,4.636248000025489,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,3,256,L3,1.0,743.0,349.0,394,3238.0,349.0,0,0,3.893303000012338,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,3,256,L3,1.0,751.0,357.0,394,6149.0,357.0,0,0,3.4767279999812217,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,3,256,L3,1.0,767.0,373.0,394,11363.0,373.0,0,0,3.3210740000129135,1040,4.203118000020822,78317,8.0,42.947976878612714,
