method,selectivity,parameter,level_name,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean
postfilter_hnsw,0.003,1000,V04,0.30333333333333334,0.19000000000000006,,,3.033333333333333,,,0.0,0.0,30.73137680000002,2895.3333333333335,0.0,0.0,0.0,0.0
postfilter_hnsw,0.003,2000,V04,0.59,0.4,,,5.9,,,0.0,0.0,30.73137680000002,2895.3333333333335,0.0,0.0,0.0,0.0
postfilter_hnsw,0.003,4000,V04,0.9833333333333333,0.9,,,9.833333333333334,,,0.0,0.0,30.73137680000002,2895.3333333333335,0.0,0.0,0.0,0.0
postfilter_hnsw,0.003,8000,V04,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.73137680000002,2895.3333333333335,0.0,0.0,0.0,0.0
postfilter_hnsw,0.003,16000,V04,0.9966666666666666,1.0,,,10.0,,,0.0,0.0,30.73137680000002,2895.3333333333335,0.0,0.0,0.0,0.0
prefilter_exact,0.003,0,V04,1.0,1.0,2895.3333333333335,0.0,2895.3333333333335,0.0,0.0,0.0,0.0,0.38527126666849654,2895.3333333333335,0.0,0.0,0.0,0.0
router1hop,0.003,32,V04,0.4966666666666667,0.3,476.3333333333333,430.96666666666664,45.36666666666667,560.9666666666667,430.96666666666664,0.0,0.0,1.3272553999987242,2895.3333333333335,30.081572333330087,63322.0,1.0,17.00355519258263
router1hop,0.003,64,V04,0.7566666666666666,0.5,751.1666666666666,664.5666666666667,86.6,994.5,664.5666666666667,0.0,0.0,2.305234066663312,2895.3333333333335,30.081572333330087,63322.0,1.0,17.00355519258263
router1hop,0.003,128,V04,0.91,0.8,1168.6666666666667,1010.4666666666667,158.2,1921.6666666666667,1010.4666666666667,0.0,0.0,4.2515525000046255,2895.3333333333335,30.081572333330087,63322.0,1.0,17.00355519258263
router1hop,0.003,256,V04,0.9666666666666667,0.9,1646.5666666666666,1369.7333333333333,276.8333333333333,3646.266666666667,1369.7333333333333,0.0,0.0,7.627609066664339,2895.3333333333335,30.081572333330087,63322.0,1.0,17.00355519258263
witness_c1,0.003,32,V04,0.59,0.3,529.3333333333334,464.73333333333335,64.6,442.96666666666664,232.66666666666666,217.23333333333332,217.23333333333332,2.3127580666634153,2895.3333333333335,13.375289333339424,48693.666666666664,1.0,8.024974838290529
witness_c1,0.003,64,V04,0.8266666666666667,0.6,892.2,768.3333333333334,123.86666666666666,840.6,372.76666666666665,430.8333333333333,430.8333333333333,4.280315233332506,2895.3333333333335,13.375289333339424,48693.666666666664,1.0,8.024974838290529
witness_c1,0.003,128,V04,0.9466666666666667,0.89,1406.2666666666667,1166.7333333333333,239.53333333333333,1572.0333333333333,546.6,831.3333333333334,831.3333333333334,7.87312430000308,2895.3333333333335,13.375289333339424,48693.666666666664,1.0,8.024974838290529
