selectivity,mask_seed,level_name,method,valid_count,active_cells,point_valid_degree,point_zero_degree,active_degree,active_zero_degree,copies_used_mean
0.002,2,L3,active_c4,2017,1054,0.027764005949429845,0.9737233515121467,34.963946869070206,0.0,4.0
0.002,2,L3,active_c8,2017,1054,0.027764005949429845,0.9737233515121467,63.83491461100569,0.0,8.0
0.002,2,L3,adaptive_deg,2017,1054,0.027764005949429845,0.9737233515121467,11.759013282732449,0.0,1.2893738140417457
0.002,2,L3,router1hop,2017,1054,0.027764005949429845,0.9737233515121467,16.537950664136623,0.0,1.0
0.003,0,V04,active_c1,2894,1772,0.03455425017277125,0.9654457498272287,8.128668171557562,0.0,1.0
0.003,0,V04,active_c2,2894,1772,0.03455425017277125,0.9654457498272287,15.878103837471784,0.0,2.0
0.003,0,V04,active_c4,2894,1772,0.03455425017277125,0.9654457498272287,30.718961625282166,0.0,4.0
0.003,0,V04,active_c8,2894,1772,0.03455425017277125,0.9654457498272287,56.41647855530474,0.0,8.0
0.003,0,V04,adaptive_deg,2894,1772,0.03455425017277125,0.9654457498272287,11.431715575620768,0.0,1.4650112866817155
0.003,0,V04,router1hop,2894,1772,0.03455425017277125,0.9654457498272287,17.01297968397291,0.0,1.0
0.003,1,V04,active_c1,2895,1751,0.03592400690846287,0.965112262521589,8.051399200456881,0.0,1.0
0.003,1,V04,active_c2,2895,1751,0.03592400690846287,0.965112262521589,15.78640776699029,0.0,2.0
0.003,1,V04,active_c4,2895,1751,0.03592400690846287,0.965112262521589,30.26956025128498,0.0,4.0
0.003,1,V04,active_c8,2895,1751,0.03592400690846287,0.965112262521589,55.776127926898916,0.0,8.0
0.003,1,V04,adaptive_deg,2895,1751,0.03592400690846287,0.965112262521589,11.454026270702455,0.0,1.4785836664762992
0.003,1,V04,router1hop,2895,1751,0.03592400690846287,0.965112262521589,17.049685893774985,0.0,1.0
0.003,2,V04,active_c1,2897,1750,0.03831549879185364,0.9630652399033482,7.894857142857143,0.0,1.0
0.003,2,V04,active_c2,2897,1750,0.03831549879185364,0.9630652399033482,15.605714285714285,0.0,2.0
0.003,2,V04,active_c4,2897,1750,0.03831549879185364,0.9630652399033482,30.062857142857144,0.0,4.0
0.003,2,V04,active_c8,2897,1750,0.03831549879185364,0.9630652399033482,55.50857142857143,0.0,8.0
0.003,2,V04,adaptive_deg,2897,1750,0.03831549879185364,0.9630652399033482,11.401142857142856,0.0,1.4994285714285713
0.003,2,V04,router1hop,2897,1750,0.03831549879185364,0.9630652399033482,16.948,0.0,1.0
0.005,0,V04,active_c1,4935,2347,0.06038500506585613,0.940628166160081,10.455901150404772,0.0,1.0
0.005,0,V04,active_c2,4935,2347,0.06038500506585613,0.940628166160081,20.355347251810823,0.0,2.0
0.005,0,V04,active_c4,4935,2347,0.06038500506585613,0.940628166160081,39.03877290157648,0.0,4.0
0.005,0,V04,active_c8,4935,2347,0.06038500506585613,0.940628166160081,71.76139752876011,0.0,8.0
0.005,0,V04,adaptive_deg,4935,2347,0.06038500506585613,0.940628166160081,12.02172986791649,0.0,1.181934384320409
0.005,0,V04,router1hop,4935,2347,0.06038500506585613,0.940628166160081,16.7980400511291,0.0,1.0
0.005,1,V04,active_c1,4938,2357,0.0690562980963953,0.9337788578371811,10.584641493423844,0.0,1.0
0.005,1,V04,active_c2,4938,2357,0.0690562980963953,0.9337788578371811,20.68901145523971,0.0,2.0
0.005,1,V04,active_c4,4938,2357,0.0690562980963953,0.9337788578371811,39.59864234196012,0.0,4.0
0.005,1,V04,active_c8,4938,2357,0.0690562980963953,0.9337788578371811,72.77301654645736,0.0,8.0
0.005,1,V04,adaptive_deg,4938,2357,0.0690562980963953,0.9337788578371811,12.052184980907933,0.0,1.168010182435299
0.005,1,V04,router1hop,4938,2357,0.0690562980963953,0.9337788578371811,16.810776410691556,0.0,1.0
0.005,2,V04,active_c1,4937,2353,0.07656471541421916,0.9262710147863075,10.54993625159371,0.0,1.0
0.005,2,V04,active_c2,4937,2353,0.07656471541421916,0.9262710147863075,20.617084572885677,0.0,2.0
0.005,2,V04,active_c4,4937,2353,0.07656471541421916,0.9262710147863075,39.50616234594135,0.0,4.0
0.005,2,V04,active_c8,4937,2353,0.07656471541421916,0.9262710147863075,72.64343391415214,0.0,8.0
0.005,2,V04,adaptive_deg,4937,2353,0.07656471541421916,0.9262710147863075,12.154696132596685,0.0,1.1823204419889504
0.005,2,V04,router1hop,4937,2353,0.07656471541421916,0.9262710147863075,16.826604334891627,0.0,1.0
0.007,0,V08,active_c1,7115,3967,0.09149683766690091,0.9128601546029516,9.422737585076884,0.0,1.0
0.007,0,V08,active_c2,7115,3967,0.09149683766690091,0.9128601546029516,18.363498865641542,0.0,2.0
0.007,0,V08,active_c4,7115,3967,0.09149683766690091,0.9128601546029516,35.330476430552054,0.0,4.0
0.007,0,V08,active_c8,7115,3967,0.09149683766690091,0.9128601546029516,64.88177464078649,0.0,8.0
0.007,0,V08,adaptive_deg,7115,3967,0.09149683766690091,0.9128601546029516,11.664734055961684,0.0,1.2936728006049911
0.007,0,V08,router1hop,7115,3967,0.09149683766690091,0.9128601546029516,17.266700277287622,0.0,1.0
0.007,1,V08,active_c1,7115,4017,0.09768095572733661,0.906816584680253,9.46925566343042,0.0,1.0
0.007,1,V08,active_c2,7115,4017,0.09768095572733661,0.906816584680253,18.520288772715958,0.0,2.0
0.007,1,V08,active_c4,7115,4017,0.09768095572733661,0.906816584680253,35.51854617874035,0.0,4.0
0.007,1,V08,active_c8,7115,4017,0.09768095572733661,0.906816584680253,65.40702016430171,0.0,8.0
0.007,1,V08,adaptive_deg,7115,4017,0.09768095572733661,0.906816584680253,11.734876773711726,0.0,1.2959920338561115
0.007,1,V08,router1hop,7115,4017,0.09768095572733661,0.906816584680253,17.253920836445108,0.0,1.0
0.007,2,V08,active_c1,7114,3953,0.09432105707056508,0.9087714366038797,9.363521376169997,0.0,1.0
0.007,2,V08,active_c2,7114,3953,0.09432105707056508,0.9087714366038797,18.305084745762713,0.0,2.0
0.007,2,V08,active_c4,7114,3953,0.09432105707056508,0.9087714366038797,35.127751075132814,0.0,4.0
0.007,2,V08,active_c8,7114,3953,0.09432105707056508,0.9087714366038797,64.45636225651404,0.0,8.0
0.007,2,V08,adaptive_deg,7114,3953,0.09432105707056508,0.9087714366038797,11.667088287376677,0.0,1.3030609663546673
0.007,2,V08,router1hop,7114,3953,0.09432105707056508,0.9087714366038797,17.25423728813559,0.0,1.0
0.01,0,V08,active_c1,9917,4761,0.1283654330946859,0.8800040334778663,11.003990758244067,0.0,1.0
0.01,0,V08,active_c2,9917,4761,0.1283654330946859,0.8800040334778663,21.462297836588952,0.0,2.0
0.01,0,V08,active_c4,9917,4761,0.1283654330946859,0.8800040334778663,41.0812854442344,0.0,4.0
0.01,0,V08,active_c8,9917,4761,0.1283654330946859,0.8800040334778663,75.55681579500106,0.0,8.0
0.01,0,V08,adaptive_deg,9917,4761,0.1283654330946859,0.8800040334778663,12.290485192186516,0.0,1.1522789329972696
0.01,0,V08,router1hop,9917,4761,0.1283654330946859,0.8800040334778663,17.05335013652594,0.0,1.0
0.01,1,V08,active_c1,9919,4715,0.1306583324931949,0.8782135295896764,10.827147401908801,0.0,1.0
