method,selectivity,parameter,matched_level,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks
postfilter_hnsw,0.007,1000,2,0.7,0.39000000000000007,,,7.0,,,0.0,0.0,30.44778066666633,7114.666666666667,0.0,0.0
postfilter_hnsw,0.007,2000,2,1.0,1.0,,,10.0,,,0.0,0.0,30.44778066666633,7114.666666666667,0.0,0.0
postfilter_hnsw,0.007,4000,2,1.0,1.0,,,10.0,,,0.0,0.0,30.44778066666633,7114.666666666667,0.0,0.0
postfilter_hnsw,0.007,8000,2,1.0,1.0,,,10.0,,,0.0,0.0,30.44778066666633,7114.666666666667,0.0,0.0
postfilter_hnsw,0.007,16000,2,1.0,1.0,,,10.0,,,0.0,0.0,30.44778066666633,7114.666666666667,0.0,0.0
prefilter_exact,0.007,0,2,1.0,1.0,7114.666666666667,0.0,7114.666666666667,0.0,0.0,0.0,0.0,0.7762376000007029,7114.666666666667,0.0,0.0
topdown_summary_hybrid,0.007,32,2,0.5966666666666666,0.3,863.8,811.0333333333333,52.766666666666666,771.6,477.03333333333336,454.8666666666667,244.86666666666667,2.0406800666667855,7114.666666666667,194.4082136666623,1959376.6666666667
topdown_summary_hybrid,0.007,64,2,0.77,0.6,1181.8,1077.9333333333334,103.86666666666666,1494.9333333333334,730.3,483.3666666666667,273.3666666666667,3.588320066669818,7114.666666666667,194.4082136666623,1959376.6666666667
topdown_summary_hybrid,0.007,128,2,0.9,0.79,1701.4333333333334,1497.2666666666667,204.16666666666666,2957.4,1079.0,654.2,444.2,6.5917418666667045,7114.666666666667,194.4082136666623,1959376.6666666667
topdown_summary_hybrid,0.007,256,2,0.98,0.9,2390.866666666667,1991.3666666666666,399.5,5754.666666666667,1480.8333333333333,929.9666666666667,719.9666666666667,12.004567733332768,7114.666666666667,194.4082136666623,1959376.6666666667
uniform_b8_active,0.007,32,2,0.4633333333333333,0.2,304.76666666666665,251.4,53.36666666666667,318.53333333333336,251.4,0.0,0.0,2.0035308999979407,7114.666666666667,28.114334999997936,90792.33333333333
uniform_b8_active,0.007,64,2,0.6366666666666667,0.4,515.5,410.6333333333333,104.86666666666666,569.5333333333333,410.6333333333333,0.0,0.0,3.4490311333371437,7114.666666666667,28.114334999997936,90792.33333333333
uniform_b8_active,0.007,128,2,0.8233333333333334,0.69,868.3333333333334,660.5333333333333,207.8,1064.8666666666666,660.5333333333333,0.0,0.0,6.3781647333314595,7114.666666666667,28.114334999997936,90792.33333333333
uniform_b8_active,0.007,256,2,0.9433333333333334,0.8,1426.2333333333333,1024.7666666666667,401.46666666666664,2043.0333333333333,1024.7666666666667,0.0,0.0,11.925283133331277,7114.666666666667,28.114334999997936,90792.33333333333
uniform_b8_router,0.007,32,2,0.35666666666666663,0.1,588.8666666666667,560.9,27.966666666666665,674.5333333333333,560.9,0.0,0.0,2.028209833329697,7114.666666666667,0.0,0.0
