selectivity,mask_seed,level,sample_size,matches,s_hat,relative_error
0.001,1,0,1000000,1040,0.00104,0.03999999999999989
0.001,1,1,124841,128,0.0010253041869257697,0.025304186925769648
0.001,1,2,15653,20,0.001277710343065227,0.27771034306522707
0.001,1,3,1964,2,0.0010183299389002036,0.018329938900203548
0.001,1,4,210,0,0.0,1.0
0.001,1,5,27,0,0.0,1.0
0.001,1,6,5,0,0.0,1.0
0.001,1,7,1,0,0.0,1.0
0.001,2,0,1000000,1042,0.001042,0.04199999999999993
0.001,2,1,124841,137,0.0010973958875689878,0.09739588756898783
0.001,2,2,15653,18,0.0011499393087587044,0.14993930875870434
0.001,2,3,1964,2,0.0010183299389002036,0.018329938900203548
0.001,2,4,210,0,0.0,1.0
0.001,2,5,27,0,0.0,1.0
0.001,2,6,5,0,0.0,1.0
0.001,2,7,1,0,0.0,1.0
