method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,copy_lists_read,expanded_active_cells,avg_copies_per_expansion,active_edges_exposed,improving_edges,progress_fraction,geo_fallbacks,router_fallbacks,latency_ms,valid_count,theory_copies
degree4,0.002,2,5,128,L3,0.9,711.0,450.0,261,2334.0,450.0,2334,131,130,1.0076923076923077,1235,223,0.1805668016194332,0,0,7.600261999982649,2017,1
degree8,0.002,2,5,128,L3,0.9,720.0,463.0,257,2861.0,463.0,2861,162,128,1.265625,1491,262,0.17572099262240107,0,0,7.7802200000007815,2017,1
progress4,0.002,2,5,128,L3,0.9,714.0,457.0,257,2590.0,457.0,2590,130,128,1.015625,1418,234,0.16502115655853314,33,0,9.074459000032675,2017,1
progress8,0.002,2,5,128,L3,0.9,721.0,464.0,257,3085.0,464.0,3085,162,128,1.265625,1646,282,0.17132442284325639,28,0,8.886696999979904,2017,1
progress4_router,0.002,2,5,128,L3,0.8,801.0,584.0,217,2895.0,471.0,2895,105,104,1.0096153846153846,1392,171,0.12284482758620689,30,17,9.655597999994825,2017,1
fixed_c1,0.002,2,5,256,L3,1.0,1004.0,509.0,495,4492.0,509.0,4492,256,256,1.0,2378,709,0.2981497056349874,0,0,23.034242000022687,2017,1
fixed_c2,0.002,2,5,256,L3,1.0,1027.0,532.0,495,9020.0,532.0,9020,512,256,2.0,4711,1425,0.3024835491403099,0,0,14.459691999974211,2017,1
theory_c,0.002,2,5,256,L3,1.0,1004.0,509.0,495,4492.0,509.0,4492,256,256,1.0,2378,709,0.2981497056349874,0,0,12.038816999989876,2017,1
degree4,0.002,2,5,256,L3,1.0,1005.0,510.0,495,4556.0,510.0,4556,260,256,1.015625,2412,716,0.296849087893864,0,0,12.071776999988515,2017,1
degree8,0.002,2,5,256,L3,1.0,1010.0,515.0,495,5669.0,515.0,5669,329,256,1.28515625,2990,938,0.3137123745819398,0,0,12.543362999991814,2017,1
progress4,0.002,2,5,256,L3,1.0,1005.0,510.0,495,4852.0,510.0,4852,260,256,1.015625,2620,752,0.2870229007633588,37,0,13.879502999998294,2017,1
progress8,0.002,2,5,256,L3,1.0,1010.0,515.0,495,5901.0,515.0,5901,329,256,1.28515625,3149,960,0.3048586852969197,29,0,14.14016400002538,2017,1
progress4_router,0.002,2,5,256,L3,1.0,1097.0,654.0,443,5190.0,537.0,5190,231,227,1.0176211453744493,2631,611,0.2322310908399848,36,18,15.016707000000906,2017,1
prefilter_exact,0.002,2,8,0,L3,1.0,2017.0,0.0,2017,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.3757719999839537,2017,1
postfilter_hnsw,0.002,2,8,500,L3,0.2,,,2,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,8,1000,L3,0.3,,,3,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,8,2000,L3,0.3,,,3,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,8,4000,L3,0.7,,,7,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,8,8000,L3,1.0,,,10,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,8,16000,L3,1.0,,,10,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
fixed_c1,0.002,2,8,32,L3,0.6,355.0,263.0,92,624.0,263.0,624,34,34,1.0,374,33,0.08823529411764706,0,0,2.4506400000063877,2017,1
fixed_c2,0.002,2,8,32,L3,0.8,443.0,362.0,81,1157.0,362.0,1157,64,32,2.0,664,35,0.05271084337349398,0,0,2.5545549999890227,2017,1
theory_c,0.002,2,8,32,L3,0.6,355.0,263.0,92,624.0,263.0,624,34,34,1.0,374,33,0.08823529411764706,0,0,2.2495590000062293,2017,1
degree4,0.002,2,8,32,L3,0.6,355.0,263.0,92,624.0,263.0,624,34,34,1.0,374,33,0.08823529411764706,0,0,2.237188999998807,2017,1
degree8,0.002,2,8,32,L3,0.7,351.0,267.0,84,644.0,267.0,644,35,33,1.0606060606060606,394,33,0.08375634517766498,0,0,2.2117019999825516,2017,1
progress4,0.002,2,8,32,L3,0.8,354.0,271.0,83,731.0,271.0,731,32,32,1.0,477,37,0.07756813417190776,19,0,3.0938220000109595,2017,1
progress8,0.002,2,8,32,L3,0.7,372.0,290.0,82,816.0,290.0,816,36,33,1.0909090909090908,531,42,0.07909604519774012,19,0,3.126601999952072,2017,1
progress4_router,0.002,2,8,32,L3,0.8,383.0,300.0,83,819.0,281.0,819,32,32,1.0,477,37,0.07756813417190776,19,5,3.4045169999785685,2017,1
fixed_c1,0.002,2,8,64,L3,0.9,529.0,369.0,160,1162.0,369.0,1162,64,64,1.0,688,73,0.10610465116279069,0,0,4.0814710000063315,2017,1
fixed_c2,0.002,2,8,64,L3,0.8,634.0,473.0,161,2352.0,473.0,2352,128,64,2.0,1352,113,0.08357988165680473,0,0,4.799366999975518,2017,1
theory_c,0.002,2,8,64,L3,0.9,529.0,369.0,160,1162.0,369.0,1162,64,64,1.0,688,73,0.10610465116279069,0,0,4.1018119999876035,2017,1
degree4,0.002,2,8,64,L3,0.9,529.0,369.0,160,1162.0,369.0,1162,64,64,1.0,688,73,0.10610465116279069,0,0,4.104105999999774,2017,1
degree8,0.002,2,8,64,L3,0.9,549.0,387.0,162,1313.0,387.0,1313,72,64,1.125,777,82,0.10553410553410554,0,0,4.111727000008614,2017,1
progress4,0.002,2,8,64,L3,0.9,542.0,378.0,164,1357.0,378.0,1357,64,64,1.0,843,94,0.11150652431791222,24,0,5.202862000004416,2017,1
progress8,0.002,2,8,64,L3,0.9,558.0,394.0,164,1491.0,394.0,1491,72,64,1.125,924,104,0.11255411255411256,22,0,5.172415000004094,2017,1
progress4_router,0.002,2,8,64,L3,0.8,566.0,410.0,156,1439.0,391.0,1439,61,61,1.0,846,85,0.10047281323877069,24,5,5.742730000008578,2017,1
fixed_c1,0.002,2,8,128,L3,1.0,788.0,487.0,301,2356.0,487.0,2356,128,128,1.0,1414,247,0.1746817538896747,0,0,7.672518999982003,2017,1
fixed_c2,0.002,2,8,128,L3,1.0,836.0,534.0,302,4716.0,534.0,4716,256,128,2.0,2746,458,0.16678805535324107,0,0,8.181331000031378,2017,1
theory_c,0.002,2,8,128,L3,1.0,788.0,487.0,301,2356.0,487.0,2356,128,128,1.0,1414,247,0.1746817538896747,0,0,7.544588000001795,2017,1
degree4,0.002,2,8,128,L3,1.0,788.0,487.0,301,2356.0,487.0,2356,128,128,1.0,1414,247,0.1746817538896747,0,0,7.5738019999960216,2017,1
degree8,0.002,2,8,128,L3,1.0,798.0,497.0,301,2626.0,497.0,2626,142,128,1.109375,1572,278,0.17684478371501272,0,0,7.548103000004858,2017,1
progress4,0.002,2,8,128,L3,1.0,790.0,489.0,301,2572.0,489.0,2572,128,128,1.0,1596,283,0.17731829573934837,27,0,8.933186000007254,2017,1
progress8,0.002,2,8,128,L3,1.0,800.0,499.0,301,2826.0,499.0,2826,142,128,1.109375,1742,312,0.1791044776119403,25,0,8.97136399998999,2017,1
progress4_router,0.002,2,8,128,L3,1.0,802.0,518.0,284,2655.0,499.0,2655,121,121,1.0,1604,264,0.16458852867830423,28,5,9.425864000007778,2017,1
fixed_c1,0.002,2,8,256,L3,1.0,1101.0,554.0,547,4600.0,554.0,4600,256,256,1.0,2666,720,0.2700675168792198,0,0,12.33316799999784,2017,1
fixed_c2,0.002,2,8,256,L3,1.0,1110.0,563.0,547,9234.0,563.0,9234,512,256,2.0,5285,1456,0.27549668874172184,0,0,13.099866999993992,2017,1
theory_c,0.002,2,8,256,L3,1.0,1101.0,554.0,547,4600.0,554.0,4600,256,256,1.0,2666,720,0.2700675168792198,0,0,12.311044000028915,2017,1
degree4,0.002,2,8,256,L3,1.0,1101.0,554.0,547,4600.0,554.0,4600,256,256,1.0,2666,720,0.2700675168792198,0,0,12.257194000000027,2017,1
degree8,0.002,2,8,256,L3,1.0,1102.0,555.0,547,5412.0,555.0,5412,303,256,1.18359375,3132,881,0.28128991060025543,0,0,12.34913200002552,2017,1
progress4,0.002,2,8,256,L3,1.0,1101.0,554.0,547,4848.0,554.0,4848,256,256,1.0,2870,762,0.26550522648083624,31,0,14.20663300001479,2017,1
progress8,0.002,2,8,256,L3,1.0,1102.0,555.0,547,5628.0,555.0,5628,303,256,1.18359375,3314,917,0.27670488835244417,27,0,14.095897000032664,2017,1
progress4_router,0.002,2,8,256,L3,1.0,1108.0,591.0,517,4928.0,566.0,4928,246,246,1.0,2882,716,0.24843858431644691,31,6,15.085029000005079,2017,1
prefilter_exact,0.002,2,11,0,L3,1.0,2017.0,0.0,2017,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.3668390000086674,2017,1
postfilter_hnsw,0.002,2,11,500,L3,0.1,,,1,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,11,1000,L3,0.1,,,1,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,11,2000,L3,0.2,,,2,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,11,4000,L3,1.0,,,10,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,11,8000,L3,1.0,,,10,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
postfilter_hnsw,0.002,2,11,16000,L3,1.0,,,10,,,0,0,0,0.0,0,0,0.0,0,0,31.2500259666668,2017,1
fixed_c1,0.002,2,11,32,L3,0.6,322.0,248.0,74,599.0,248.0,599,34,34,1.0,370,37,0.1,0,0,2.406081999993148,2017,1
fixed_c2,0.002,2,11,32,L3,0.8,439.0,363.0,76,1153.0,363.0,1153,64,32,2.0,668,42,0.06287425149700598,0,0,2.5454720000084308,2017,1
theory_c,0.002,2,11,32,L3,0.6,322.0,248.0,74,599.0,248.0,599,34,34,1.0,370,37,0.1,0,0,2.274155999970162,2017,1
degree4,0.002,2,11,32,L3,0.6,322.0,248.0,74,599.0,248.0,599,34,34,1.0,370,37,0.1,0,0,2.2522829999900296,2017,1
degree8,0.002,2,11,32,L3,0.7,350.0,273.0,77,709.0,273.0,709,39,36,1.0833333333333333,431,40,0.09280742459396751,0,0,2.432902999998987,2017,1
progress4,0.002,2,11,32,L3,0.8,338.0,260.0,78,697.0,260.0,697,32,32,1.0,442,46,0.10407239819004525,18,0,3.0095860000187713,2017,1
progress8,0.002,2,11,32,L3,0.8,346.0,269.0,77,766.0,269.0,766,37,32,1.15625,481,52,0.10810810810810811,13,0,2.8677149999793983,2017,1
progress4_router,0.002,2,11,32,L3,0.8,367.0,289.0,78,765.0,267.0,765,32,32,1.0,442,46,0.10407239819004525,18,4,3.308173999982955,2017,1
fixed_c1,0.002,2,11,64,L3,0.8,529.0,375.0,154,1169.0,375.0,1169,64,64,1.0,718,85,0.11838440111420613,0,0,4.137706000022945,2017,1
fixed_c2,0.002,2,11,64,L3,0.9,623.0,466.0,157,2306.0,466.0,2306,128,64,2.0,1371,132,0.0962800875273523,0,0,4.785786000013559,2017,1
theory_c,0.002,2,11,64,L3,0.8,529.0,375.0,154,1169.0,375.0,1169,64,64,1.0,718,85,0.11838440111420613,0,0,4.102894000027391,2017,1
degree4,0.002,2,11,64,L3,0.8,529.0,375.0,154,1169.0,375.0,1169,64,64,1.0,718,85,0.11838440111420613,0,0,4.1041660000189495,2017,1
degree8,0.002,2,11,64,L3,0.9,537.0,382.0,155,1279.0,382.0,1279,70,64,1.09375,776,89,0.11469072164948453,0,0,4.122573000017837,2017,1
