selectivity,method,level_name,recall,distance_computations,adjacency_reads,avg_copies_per_expansion,progress_fraction,geo_fallbacks,router_fallbacks,summary_checks_query,latency_ms
0.007,degree4,L2,0.8133333333333332,882.7,2689.3,1.0385016926749857,0.1476302225129159,0.0,0.0,2689.3,8.281156966666003
0.007,degree8,L2,0.86,1009.3666666666668,3717.0666666666666,1.4975496075982375,0.134487242792087,0.0,0.0,3717.0666666666666,8.77055916666715
0.007,fixed_c1,L2,0.8,872.7,2615.1666666666665,1.0,0.1503548609989296,0.0,0.0,2615.1666666666665,8.21714223333269
0.007,fixed_c2,L2,0.8933333333333333,1157.8666666666666,5135.833333333333,2.0,0.1240683887535101,0.0,0.0,5135.833333333333,9.496331266666402
0.007,progress4,L2,0.8633333333333334,913.4666666666668,3067.4666666666667,1.0447852060686698,0.1539597629193551,47.8,0.0,3067.4666666666667,10.442032500003506
0.007,progress4_router,L2,0.84,1038.7666666666669,3281.266666666667,1.0499778439715317,0.1269664902157717,44.4,16.033333333333335,3281.266666666667,11.030094333333787
0.007,progress8,L2,0.8833333333333333,1030.6333333333334,4051.1,1.5020115120103754,0.1413020924951574,38.66666666666666,0.0,4051.1,10.670132399993312
0.007,theory_c,L2,0.9033333333333334,1336.3333333333333,7714.5,3.0,0.1189904852888845,0.0,0.0,7714.5,10.727554400000372
0.01,degree4,L2,0.8366666666666667,1028.9,2557.6,1.0085040779350538,0.12807288134935,0.0,0.0,2557.6,8.29927603333734
0.01,degree8,L2,0.85,1114.8666666666666,3074.0666666666666,1.2475082861303293,0.1198621424702439,0.0,0.0,3074.0666666666666,8.90912540000007
0.01,fixed_c1,L2,0.8366666666666667,1034.6666666666667,2563.6,1.0,0.1280088518608436,0.0,0.0,2563.6,8.422306333333532
0.01,fixed_c2,L2,0.8766666666666667,1392.9666666666667,5056.7,2.0,0.1061327186229725,0.0,0.0,5056.7,9.669470499999496
0.01,progress4,L2,0.8533333333333334,1062.5333333333333,2923.3,1.0105989710386512,0.1349518126219537,46.56666666666667,0.0,2923.3,10.477690600002155
0.01,progress4_router,L2,0.84,1172.7333333333331,3184.9666666666667,1.011352871455535,0.1143809913533475,44.5,15.633333333333333,3184.9666666666667,11.26213673332946
