method,selectivity,parameter,level_name,recall,recall_p10,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,copy_lists_read,expanded_active_cells,avg_copies_per_expansion,active_edges_exposed,improving_edges,progress_fraction,geo_fallbacks,router_fallbacks,latency_ms,valid_count,theory_copies
fixed_c1,0.002,64,L3,0.83,0.6,499.1333333333333,348.26666666666665,150.86666666666667,1166.5333333333333,348.26666666666665,1166.5333333333333,64.76666666666667,64.76666666666667,1.0,669.2,81.96666666666667,0.12319900914105834,0.0,0.0,4.175525866667347,2016.6666666666667,1.0
fixed_c1,0.002,128,L3,0.9666666666666667,0.9,737.4333333333333,455.06666666666666,282.3666666666667,2295.5666666666666,455.06666666666666,2295.5666666666666,128.26666666666668,128.26666666666668,1.0,1305.2,241.26666666666668,0.18542062220571404,0.0,0.0,7.486873666667293,2016.6666666666667,1.0
fixed_c1,0.002,256,L3,1.0,1.0,1049.7,521.0,528.7,4519.333333333333,521.0,4519.333333333333,256.1666666666667,256.1666666666667,1.0,2555.3333333333335,763.6333333333333,0.2991752718590686,0.0,0.0,12.641123566669421,2016.6666666666667,1.0
fixed_c2,0.002,32,L3,0.76,0.59,421.3333333333333,341.8333333333333,79.5,1173.5,341.8333333333333,1173.5,65.2,32.6,2.0,653.3333333333334,43.1,0.06647782071757795,0.0,0.0,2.630676633334398,2016.6666666666667,1.0
fixed_c2,0.002,64,L3,0.9033333333333334,0.79,591.8,439.56666666666666,152.23333333333332,2319.7,439.56666666666666,2319.7,128.53333333333333,64.26666666666667,2.0,1290.2,133.16666666666666,0.10390646555531356,0.0,0.0,4.734241233334539,2016.6666666666667,1.0
fixed_c2,0.002,128,L3,0.9733333333333333,0.9,788.4333333333333,505.56666666666666,282.8666666666667,4600.3,505.56666666666666,4600.3,256.3333333333333,128.16666666666666,2.0,2553.733333333333,459.26666666666665,0.18042302788403633,0.0,0.0,8.156311900002796,2016.6666666666667,1.0
fixed_c2,0.002,256,L3,1.0,1.0,1069.0,540.4,528.6,9048.466666666667,540.4,9048.466666666667,512.4,256.2,2.0,5008.666666666667,1501.4666666666667,0.3001413752339169,0.0,0.0,13.387315933335723,2016.6666666666667,1.0
postfilter_hnsw,0.002,500,L3,0.08333333333333333,0.0,,,0.8333333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2016.6666666666667,1.0
postfilter_hnsw,0.002,1000,L3,0.14666666666666667,0.0,,,1.4666666666666666,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2016.6666666666667,1.0
postfilter_hnsw,0.002,2000,L3,0.36666666666666664,0.1,,,3.6666666666666665,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2016.6666666666667,1.0
postfilter_hnsw,0.002,4000,L3,0.77,0.39000000000000007,,,7.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2016.6666666666667,1.0
postfilter_hnsw,0.002,8000,L3,0.9933333333333334,1.0,,,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2016.6666666666667,1.0
postfilter_hnsw,0.002,16000,L3,0.9933333333333334,1.0,,,10.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2500259666668,2016.6666666666667,1.0
prefilter_exact,0.002,0,L3,1.0,1.0,2016.6666666666667,0.0,2016.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34190996666628354,2016.6666666666667,1.0
