selectivity,A,B,recall_A,recall_B,recall_delta,dist_A,dist_B,distance_ratio,edge_ratio,avg_copies_A,progress_A,geo_fallbacks_A,router_fallbacks_A
0.01,degree8,fixed_c1,0.85,0.8366666666666667,0.013333333333333308,1114.8666666666666,1034.6666666666667,1.077512886597938,1.1991210277214335,1.2475082861303293,0.1198621424702439,0.0,0.0
0.02,degree8,fixed_c1,0.7833333333333333,0.7833333333333333,0.0,1469.8666666666666,1448.3666666666666,1.0148443073807276,1.0329920515517448,1.0438568895722338,0.0975688155758438,0.0,0.0
0.001,progress4,fixed_c1,0.9933333333333334,0.99,0.0033333333333334103,519.7,514.6666666666666,1.009779792746114,1.1551234433034738,1.060877155386603,0.2618385965518954,28.6,0.0
0.002,progress4,fixed_c1,0.97,0.9666666666666668,0.0033333333333331883,740.4333333333333,737.4333333333333,1.0040681643538398,1.1070469165202492,1.0057130789107531,0.1975270150905927,29.166666666666668,0.0
0.003,progress4,fixed_c1,0.9866666666666668,0.9633333333333332,0.02333333333333365,894.2333333333333,890.7666666666667,1.0038917786176702,1.1029077525404343,1.0002604166666669,0.1770556844066222,29.23333333333333,0.0
0.005,progress4,fixed_c1,0.99,0.98,0.010000000000000009,1177.5333333333333,1175.5,1.0017297603856514,1.102815718516554,1.0002604166666669,0.1544628722906089,29.366666666666667,0.0
0.007,progress4,fixed_c1,0.8633333333333334,0.8,0.06333333333333335,913.4666666666668,872.7,1.0467132653450977,1.1729526480147856,1.0447852060686698,0.1539597629193551,47.8,0.0
0.01,progress4,fixed_c1,0.8533333333333334,0.8366666666666667,0.01666666666666672,1062.5333333333333,1034.6666666666667,1.0269329896907216,1.1403105008581682,1.0105989710386512,0.1349518126219537,46.56666666666667,0.0
0.02,progress4,fixed_c1,0.8266666666666667,0.7833333333333333,0.043333333333333335,1488.1666666666667,1448.3666666666666,1.0274792294768822,1.141208110878856,1.0010016690881416,0.1069526560414456,46.86666666666667,0.0
0.001,progress8,fixed_c1,1.0,0.99,0.010000000000000009,540.1666666666666,514.6666666666666,1.0495466321243523,1.731876775180249,1.6790859173126615,0.2511528173582898,18.4,0.0
0.002,progress8,fixed_c1,0.9733333333333332,0.9666666666666668,0.0066666666666663765,753.0666666666667,737.4333333333333,1.0211996564661214,1.268198121015871,1.1900024224806205,0.1934664183923867,25.5,0.0
0.003,progress8,fixed_c1,0.9866666666666668,0.9633333333333332,0.02333333333333365,900.3,890.7666666666667,1.0107023911985928,1.1663269645292316,1.0744128900814949,0.1758083892155507,27.23333333333333,0.0
0.005,progress8,fixed_c1,0.99,0.98,0.010000000000000009,1178.7333333333331,1175.5,1.002750602580462,1.1154429857519632,1.0163981750645994,0.1538080969064633,28.8,0.0
0.007,progress8,fixed_c1,0.8833333333333333,0.8,0.08333333333333326,1030.6333333333334,872.7,1.1809709331194378,1.5490790899241604,1.5020115120103754,0.1413020924951574,38.66666666666666,0.0
0.01,progress8,fixed_c1,0.86,0.8366666666666667,0.023333333333333317,1148.4333333333334,1034.6666666666667,1.1099548969072164,1.3408618089145474,1.2566732423745506,0.1267874333687266,43.3,0.0
0.02,progress8,fixed_c1,0.8266666666666667,0.7833333333333333,0.043333333333333335,1510.1,1448.3666666666666,1.0426227244482291,1.1747726637287144,1.0442679093100506,0.1058870610261761,46.36666666666667,0.0
0.001,progress4_router,fixed_c1,0.9966666666666666,0.99,0.006666666666666599,573.7666666666667,514.6666666666666,1.1148316062176167,1.2058116670308061,1.061235802645372,0.2220359833182136,28.433333333333334,7.333333333333333
0.002,progress4_router,fixed_c1,0.9633333333333332,0.9666666666666668,-0.0033333333333336324,769.0333333333333,737.4333333333333,1.0428513311937804,1.1503187303062425,1.0056408961760892,0.1777764177218997,29.1,6.633333333333334
0.003,progress4_router,fixed_c1,0.9866666666666668,0.9633333333333332,0.02333333333333365,912.0,890.7666666666667,1.02383714403323,1.1442732084989076,1.0005583590318663,0.1662608639628478,29.266666666666666,5.6
0.005,progress4_router,fixed_c1,0.99,0.98,0.010000000000000009,1186.0333333333333,1175.5,1.0089607259322273,1.1482856679780165,1.000271002710027,0.1492795190858032,29.366666666666667,5.966666666666667
0.007,progress4_router,fixed_c1,0.84,0.8,0.039999999999999925,1038.7666666666669,872.7,1.1902906688056225,1.2547065196609524,1.0499778439715317,0.1269664902157717,44.4,16.033333333333335
0.01,progress4_router,fixed_c1,0.84,0.8366666666666667,0.0033333333333332993,1172.7333333333331,1034.6666666666667,1.1334407216494842,1.2423805065792897,1.011352871455535,0.1143809913533475,44.5,15.633333333333333
0.02,progress4_router,fixed_c1,0.8133333333333332,0.7833333333333333,0.029999999999999916,1544.6333333333334,1448.3666666666666,1.0664656739775842,1.2415156639017961,1.0005848403232014,0.0998049720053539,45.96666666666667,14.133333333333333
